id,player,session,level,action,time,timestamp,"replace(state,char(13),' ')"
83116,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,3,342,"2020-11-24 14:28:14.480806","Puntaje Total: -20860"
83117,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,0,0,"2020-11-24 14:28:14.681631","Inicio del nivel;Player 1: Claudio; Player2: Martina"
83118,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,6,"2020-11-24 14:32:45.911673","Boton0;Set to TRUE; Player 0"
83119,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,13,"2020-11-24 14:32:53.442696","Boton2;Set to TRUE; Player 0"
83120,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,16,"2020-11-24 14:32:55.552893","Boton3;Set to TRUE; Player 1"
83121,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,24,"2020-11-24 14:33:04.640999","Boton5;Set to TRUE; Player 0"
83122,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,25,"2020-11-24 14:33:05.288860","Boton5;Set to FALSE; Player 0"
83123,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,27,"2020-11-24 14:33:07.418177","Boton4;Set to TRUE; Player 0"
83124,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,29,"2020-11-24 14:33:08.585956","Boton4;Set to FALSE; Player 0"
83125,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"2020-11-24 14:33:10.280431","Boton5;Set to TRUE; Player 0"
83126,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"2020-11-24 14:33:10.695139","Boton6;Set to TRUE; Player 1"
83127,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"2020-11-24 14:33:10.695721","Boton5;Set to TRUE; Player 0"
83128,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,34,"2020-11-24 14:33:14.002534","Boton7;Set to TRUE; Player 1"
83129,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,3,34,"2020-11-24 14:33:14.031536","Final del nivel"
83130,197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,3,34,"2020-11-24 14:34:11.195329","Puntaje Total: -33020"
83131,128643036,2945AE1B403412DF04CEAF86178DF20E,Densidad_de_Objetos,0,0,"2020-11-24 16:04:41.687739","Inicio del nivel;Player 1: p; Player2: Q"
83132,128643036,2945AE1B403412DF04CEAF86178DF20E,Densidad_de_Objetos,1,45,"2020-11-24 16:06:05.951313","rocaOro_Sprite; 50; Boton volOro; Player 0"
83133,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,0,0,"2020-11-24 16:43:51.983290","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83134,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,1,11,"2020-11-24 16:44:15.000214","rocaAcero_Sprite; 70; Boton volAcero; Player 0"
83135,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,1,26,"2020-11-24 16:44:29.194066","rocaDiamante_Sprite; 100; Boton volDiamante; Player 0"
83136,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,1,36,"2020-11-24 16:44:39.537993","roca_Sprite; 30; Boton volPiedra; Player 0"
83137,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,3,40,"2020-11-24 16:44:42.946321","Final del nivel"
83138,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Densidad_de_Objetos,3,40,"2020-11-24 16:45:09.102807","Puntaje Total: 11760"
83139,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,0,0,"2020-11-24 16:45:09.238344","Inicio del nivel;Player 1: Paulo; Player2: Tomas"
83140,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,1,"2020-11-24 16:45:18.659219","Boton0;Set to TRUE; Player 0"
83141,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,7,"2020-11-24 16:45:24.489550","Boton2;Set to TRUE; Player 0"
83142,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,9,"2020-11-24 16:45:26.202196","Boton3;Set to TRUE; Player 1"
83143,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,14,"2020-11-24 16:45:31.831728","Boton6;Set to TRUE; Player 1"
83144,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,15,"2020-11-24 16:45:32.185884","Boton5;Set to TRUE; Player 0"
83145,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,1,17,"2020-11-24 16:45:33.707002","Boton7;Set to TRUE; Player 1"
83146,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,3,17,"2020-11-24 16:45:33.708357","Final del nivel"
83147,188405223,156C4F1D4EDF50CC73F17D83F54C8DFB,Union_Interseccion,3,17,"2020-11-24 16:45:47.050661","Puntaje Total: 34220"
